# Every HKEX-listed equity + REIT (HKD counters), from HKEX's List of Securities.
1049.HK  # CELESTIAL ASIA
1050.HK  # KARRIE INT'L
1051.HK  # G-RESOURCES
1052.HK  # YUEXIUTRANSPORT
1053.HK  # CHONGQING IRON
1055.HK  # CHINA SOUTH AIR
1057.HK  # ZHEJIANG SHIBAO
1058.HK  # NAMYUE HOLDINGS
1059.HK  # KANTONE HOLDING
1060.HK  # DAMAI ENT
1061.HK  # ESSEX BIO-TECH
1062.HK  # CDB INT'L INV
1063.HK  # SUNCORP TECH
1064.HK  # ZHONG HUA INT'L
1065.HK  # TIANJIN CAPITAL
1066.HK  # WEIGAO GROUP
1068.HK  # YURUN FOOD
1069.HK  # CN HEALTH TECH
1070.HK  # TCL ELECTRONICS
1071.HK  # HUADIAN POWER
1072.HK  # DONGFANG ELEC
1073.HK  # DA YU FIN
1075.HK  # CAPINFO
1079.HK  # PINE TECH
1080.HK  # SHENGLI PIPE
1081.HK  # DAJIN
1082.HK  # BDV EDU INTL
1083.HK  # TG SMART ENERGY
1084.HK  # GREEN FRESH BIO
1085.HK  # HXTL
1086.HK  # GOODBABY INTL
1087.HK  # INVESTECH HLDGS
1088.HK  # CHINA SHENHUA
1090.HK  # DA MING INT'L
1091.HK  # SOUTH MANGANESE
1093.HK  # CSPC PHARMA
1094.HK  # CHERISH SUN
1097.HK  # CTFME
1098.HK  # ROAD KING INFRA
1099.HK  # SINOPHARM
1100.HK  # MAINLAND HOLD
1101.HK  # HUARONG ENERGY
1102.HK  # ENVIRO ENERGY
1104.HK  # APAC RESOURCES
1105.HK  # SING TAO
1107.HK  # MODERN LAND
1108.HK  # TRIUMPH NEW EN
1109.HK  # CHINA RES LAND
1110.HK  # KINGWORLD
1111.HK  # HUASHI GROUP
1112.HK  # H&H INTL HLDG
1113.HK  # CK ASSET
1114.HK  # BRILLIANCE CHI
1115.HK  # 5100 XIZANG
1116.HK  # HC TECH GP
1117.HK  # CH MODERN D
1118.HK  # GOLIK HOLDINGS
1119.HK  # IDREAMSKY
1120.HK  # ARTS OPTICAL
1121.HK  # GOLDENSOLAR
1122.HK  # QINGLING MOTORS
1123.HK  # CHINA-HK PHOTO
1124.HK  # COASTAL GL
1125.HK  # LAI FUNG HOLD
1126.HK  # DREAM INT'L
1127.HK  # LION ROCK GROUP
1128.HK  # WYNN MACAU
1129.HK  # WATER INDUSTRY
1130.HK  # CHINA ENV RES
1132.HK  # ORANGE SKY G H
1133.HK  # HARBIN ELECTRIC
1134.HK  # KELFRED
1137.HK  # HK TECH VENTURE
1138.HK  # COSCO SHIP ENGY
1140.HK  # HK.AI CAPITAL
1141.HK  # CMBC CAPITAL
1142.HK  # E&P GLOBAL
1145.HK  # COURAGE INV
1146.HK  # HUICHENG INTL H
1147.HK  # EDENSOFT
1148.HK  # POWER XINCHEN
1150.HK  # MILAN STATION
1152.HK  # MOMENTUM FIN
1153.HK  # JIAYUAN SER
1156.HK  # CHINANEWENERGY
1157.HK  # ZOOMLION
1159.HK  # SMART DIGI TECH
1160.HK  # GOLDSTONE CAP
1161.HK  # WATER OASIS GP
1162.HK  # LUMINA GROUP
1163.HK  # ADTIGER CORP
1164.HK  # CGN MINING
1165.HK  # SFCE
1166.HK  # SOLARTECH INT'L
1167.HK  # JACOBIO-B
1168.HK  # Z FIN
1170.HK  # KINGMAKER
1171.HK  # YANKUANG ENERGY
1172.HK  # MAGNUSCONCORDIA
1173.HK  # VEEKO INT'L
1176.HK  # ZHUGUANG HOLD
1177.HK  # SBP GROUP
1179.HK  # HWORLD-S
1180.HK  # PARADISE ENT
1181.HK  # TANG PALACE
1182.HK  # SUCCESS DRAGON
1183.HK  # MECOM POWER
1184.HK  # S.A.S. DRAGON
1186.HK  # CHINA RAIL CONS
1187.HK  # COFOE MEDICAL
1188.HK  # HYBRID KINETIC
1191.HK  # CREALIGHTS
1193.HK  # CHINA RES GAS
1195.HK  # KINGWELL GROUP
1196.HK  # REALORD TECH
1198.HK  # ROYALE HOME
1199.HK  # COSCO SHIP PORT
1200.HK  # MIDLAND HOLDING
1201.HK  # TESSON HOLDINGS
1202.HK  # SIWI SCI & TECH
1203.HK  # GUANGNAN (HOLD)
1204.HK  # BOARDWARE INTEL
1205.HK  # CITIC RESOURCES
1206.HK  # TECHNOVATOR
1208.HK  # MMG
1209.HK  # CHINA RES MIXC
1211.HK  # BYD COMPANY
1213.HK  # MOBICON GROUP
1215.HK  # KAI YUAN HLDGS
1216.HK  # ZYBANK
1217.HK  # CH INNOVATION
1218.HK  # EASYKNIT-NEW
1220.HK  # ZHIDAO INT'L
1221.HK  # SINO HOTELS
1222.HK  # WANG ON GROUP
1223.HK  # SYMPHONY HOLD
1224.HK  # C C LAND
1225.HK  # LERADO FIN
1226.HK  # CH INV FIN GP
1228.HK  # CANBRIDGE-B
1229.HK  # NAN NAN RES
1231.HK  # NEWTON RES
1232.HK  # GW TIANDI
1233.HK  # TIMES CHINA
1234.HK  # CHINA LILANG
1235.HK  # TRAVEL EXPERT
1236.HK  # LDROBOT
1237.HK  # CH ENV TECH&BIO
1238.HK  # POWERLONG
1239.HK  # TEAMWAY INTL GP
1240.HK  # CNQC INT'L
1241.HK  # SHUANGHUA H
1243.HK  # WANG ON PPT
1244.HK  # 3D MEDICINES
1245.HK  # NIRAKU
1247.HK  # MIKO INTL
1250.HK  # SDHS NEW ENERGY
1251.HK  # SPT ENERGY
1252.HK  # CHINA TIANRUI
1253.HK  # GREEN BROAD
1255.HK  # TATA HEALTH
1257.HK  # CEB GREENTECH
1258.HK  # CHINFMINING
1259.HK  # PROSPER FUTURE
1260.HK  # WONDERFUL SKY
1262.HK  # LABIXIAOXIN
1265.HK  # TIANJINJINRAN
1268.HK  # MEIDONG AUTO
1269.HK  # FIRST CAP GP
1270.HK  # LANGHAM-SS
1271.HK  # GRAND MING
1272.HK  # DATANG ENVIRO
1273.HK  # HK FINANCE GP
1274.HK  # IMOTIONTECH
1276.HK  # HENGRUI PHARMA
1277.HK  # KINETIC DEV
1278.HK  # CHINANEWTOWN
1280.HK  # QIDIAN GUOFENG
1281.HK  # XINDA INV HLDGS
1282.HK  # RENZE HARVEST
1283.HK  # ACCEL GROUP
1284.HK  # NEW MEDIA LAB
1285.HK  # JIASHILI GP
1286.HK  # IMPRO PRECISION
1288.HK  # ABC
1289.HK  # SUNLIT SCI
1290.HK  # CHINA HUIRONG
1292.HK  # CM LOGISTICS
1293.HK  # GRAND BAOXIN
1298.HK  # YUNNAN ENERGY
1299.HK  # AIA
1300.HK  # TRIGIANT
1301.HK  # D&G TECH
1302.HK  # LIFETECH SCI
1303.HK  # HUILI RES
1304.HK  # FORTIOR
1305.HK  # WAI CHI HOLD
1308.HK  # SITC
1310.HK  # HKBN
1312.HK  # KONTA CHINA
1313.HK  # CR BLDG MAT TEC
1314.HK  # TSUI WAH HLDG
1315.HK  # GREEN ECONOMY
1316.HK  # NEXTEER
1317.HK  # MAPLELEAF EDU
1318.HK  # MAO GEPING
1319.HK  # OIWAHPAWN
1321.HK  # CHINA NEWCITY
1323.HK  # HUASHENG INTL
1326.HK  # TRANSMIT ENT
1327.HK  # LUXXU GROUP
1328.HK  # GOLDSTREAM INV
1330.HK  # DYNAGREEN ENV
1332.HK  # TOUYUN BIOTECH
1333.HK  # BRETON
1334.HK  # RUICHANG INTL
1335.HK  # SHEEN TAI
1336.HK  # NCI
1338.HK  # BAWANG GROUP
1339.HK  # PICC GROUP
1340.HK  # HUISHENG INTL
1341.HK  # HAO TIAN INTL
1343.HK  # WEI YUAN HLDG
1345.HK  # SH PIONEER HLDG
1346.HK  # LEVER STYLE
1347.HK  # HUA HONG GRACE
1348.HK  # QUALI-SMART
1349.HK  # FUDANZHANGJIANG
1351.HK  # BRIGHT FUTURE
1354.HK  # KINGFARPROPERTY
1355.HK  # BIOSYSEN
1357.HK  # MEITU
1358.HK  # PW MEDTECH
1359.HK  # CHINA CINDA
1361.HK  # 361 DEGREES
1362.HK  # SIS MOBILE
1364.HK  # GUMING
1368.HK  # XTEP INT'L
1370.HK  # AOWEI HOLDING
1371.HK  # CHINA ECOTOUR
1372.HK  # C CARBONNEUTRAL
1373.HK  # IH RETAIL
1375.HK  # CC SECURITIES
1376.HK  # RAFFLESINTERIOR
1377.HK  # DTECH
1378.HK  # CHINAHONGQIAO
1379.HK  # WENLING MCT
1380.HK  # CHI KINGSTONE
1382.HK  # PACIFICTEXTILES
1384.HK  # DEEPEXI TECH
1385.HK  # SHANGHAI FUDAN
1388.HK  # EMBRY HOLDINGS
1389.HK  # MAJOR HLDGS
1392.HK  # HQVT
1393.HK  # HIDILI INDUSTRY
1395.HK  # ELL ENV
1396.HK  # GBA AI COMP-500
1397.HK  # BAGUIO GREEN
1398.HK  # ICBC
1399.HK  # VESON HLDG
1400.HK  # MOODY TECH HLDG
1401.HK  # FUTURE MACH LTD
1402.HK  # I-CONTROL
1405.HK  # DPC DASH
1406.HK  # CLARITY MEDICAL
1407.HK  # JY GAS
1408.HK  # MACAU E&M
1410.HK  # EDVANCE INTL
1412.HK  # Q P GROUP
1413.HK  # FEG HOLDINGS
1415.HK  # COWELL
1416.HK  # CTR HOLDINGS
1417.HK  # RIVERINE CHINA
1418.HK  # SINOMAX GROUP
1419.HK  # HUMAN HEALTH
1420.HK  # CHUAN HOLDING
1421.HK  # PROSP GP INTL
1425.HK  # JUSTIN ALLEN H
1426.HK  # SPRING REIT
1427.HK  # CH TIANBAO GP
1428.HK  # BRIGHT SMART
1429.HK  # SKYMISSION GP
1431.HK  # YST DAIRY
1432.HK  # CHINASHENGMU-PF
1433.HK  # CIRTEK HLDGS
1440.HK  # STAR SHINE HLDG
1442.HK  # INFINITY L&T
1443.HK  # FULUM GP HLDG
1446.HK  # HUNGFOOKTONG
1447.HK  # SFK
1448.HK  # FU SHOU YUAN
1449.HK  # LEADER EDU
1450.HK  # BE FRIENDS HLDG
1451.HK  # MS GROUP HLDGS
1452.HK  # DENOX ENV
1455.HK  # FOURACE IND GP
1456.HK  # GLMS SEC
1458.HK  # ZHOU HEI YA
1459.HK  # JUJIANG CONS
1460.HK  # ICO GROUP
1461.HK  # ZHONGTAIFUTURES
1463.HK  # C-LINK SQ
1466.HK  # BAIJIN LIFE SCI
1468.HK  # JAKOTA CAPITAL
1470.HK  # PROSPER ONE
1471.HK  # ZHONGMIAO
1472.HK  # SANG HING HLDGS
1473.HK  # PANGAEA CONNECT
1475.HK  # NISSIN FOODS
1476.HK  # FIN STREET SEC
1477.HK  # OCUMENSION-B
1478.HK  # Q TECH
1480.HK  # YAN TAT GROUP
1481.HK  # SMART GLOBE
1483.HK  # NET-A-GO TECH
1486.HK  # C CHENG HLDGS
1488.HK  # BEST FOOD HLDG
1489.HK  # GC CONSTRUCTION
1490.HK  # AI X TECH
1496.HK  # AP RENTALS
1497.HK  # YAN PALACE
1498.HK  # PURAPHARM
1499.HK  # OKG TECH
1500.HK  # INCON
1501.HK  # INT MEDICAL
1502.HK  # FIN STREET PPT
1503.HK  # CMC REIT
1508.HK  # CHINA RE
1511.HK  # UISEE TECH
1513.HK  # LIVZON PHARMA
1515.HK  # CR MEDICAL
1516.HK  # SUNAC SERVICES
1518.HK  # NC HEALTHCARE
1519.HK  # J&T EXPRESS-W
1520.HK  # VIRTUAL MIND
1521.HK  # FRONTAGE
1522.HK  # BII TRANS TECH
1523.HK  # PLOVER BAY TECH
1525.HK  # GENCH EDU
1526.HK  # RICI HEALTH
1527.HK  # TENGY ENV
1528.HK  # RS MACALLINE
1529.HK  # YUES INTL HLDG
1530.HK  # 3SBIO
1532.HK  # CHINA PARTYTIME
1536.HK  # YUK WING GP
1538.HK  # ZHONG AO HOME
1539.HK  # UNITY GP HLDGS
1540.HK  # LEFTFIELD PRINT
1541.HK  # IMMUNEONCO-B
1542.HK  # TAIZHOU WATER
1543.HK  # JOIN-SHARE
1545.HK  # DESIGN CAPITAL
1546.HK  # THELLOY DEV
1547.HK  # IBI GROUP HLDGS
1548.HK  # GENSCRIPT BIO
1549.HK  # EVER HARVEST GP
1551.HK  # GRCB
1552.HK  # BHCC HOLDING
1553.HK  # MAIKE TUBE
1555.HK  # MIE HOLDINGS
1556.HK  # CHINNEY KW
1557.HK  # K.H. GP HLDGS
1559.HK  # KWAN ON HLDGS
1560.HK  # STAR GROUP ASIA
1561.HK  # PAN ASIA DATA H
1563.HK  # ALLI INTL ED LE
1565.HK  # VIRSCEND EDU
1566.HK  # CA CULTURAL
1568.HK  # SUNDART HLDGS
1569.HK  # MINSHENG EDU
1570.HK  # WEIYE HOLDINGS
1571.HK  # XIN POINT HOLD
1572.HK  # CHINA ART FIN
1575.HK  # REGAL PARTNERS
1576.HK  # QILU EXPRESSWAY
1577.HK  # HUIXIN CREDIT
1578.HK  # BANK OF TIANJIN
1579.HK  # YIHAI INTL
1580.HK  # DA SEN HLDGS
1581.HK  # PROGRESSIVE P
1582.HK  # CR CONSTRUCTION
1583.HK  # QINQIN FOODS
1585.HK  # YADEA
1586.HK  # LEON INSPECTION
1587.HK  # SHINEROAD INTL
1588.HK  # CHANJET
1591.HK  # SHUN WO GROUP
1592.HK  # ANCHORSTONE
1593.HK  # CHEN LIN EDU
1596.HK  # YICHEN IND
1597.HK  # NATURE ENERGY T
1598.HK  # 21CENTURY EDU
1599.HK  # UCD
1600.HK  # TIAN LUN GAS
1601.HK  # ZGC TEC LEASING
1606.HK  # CDB LEASING
1608.HK  # VPOWER GROUP
1609.HK  # STAR SPORTS MED
1610.HK  # COFCO JOYCOME
1611.HK  # BITFIRE GROUP
1612.HK  # VINCENT MED
1613.HK  # SYNERTONE
1615.HK  # AB BUILDERS
1616.HK  # A METAVERSE
1617.HK  # NANFANG COMM
1618.HK  # MCC
1620.HK  # CINESE INTL
1621.HK  # VICO INTL HLDGS
1622.HK  # REDCO GROUP
1623.HK  # HILONG
1626.HK  # JIA YAO HLDGS
1627.HK  # ABLE ENG HLDGS
1628.HK  # YUZHOU GROUP
1629.HK  # CHAMP ALLI INTL
1630.HK  # KIN SHING HLDGS
1631.HK  # REF HOLDINGS
1632.HK  # MSCTECH
1633.HK  # SHEUNG YUE GP
1635.HK  # DZUG
1636.HK  # CMRU
1637.HK  # SH GROUP HLDG
1638.HK  # KAISA GROUP
1640.HK  # QIAN XUN TECH
1641.HK  # HX COLDCHAIN
1643.HK  # MODERN CHI MED
1645.HK  # HAINA INTEL
1647.HK  # GRANDSHORES
1650.HK  # HYGIEIA GROUP
1651.HK  # TSUGAMI CHINA
1652.HK  # FUSEN PHARM
1653.HK  # MOS HOUSE
1655.HK  # OKURA HOLDINGS
1656.HK  # ISDN HOLDINGS
1657.HK  # SG GROUP HLDGS
1658.HK  # PSBC
1660.HK  # SEVEN ELEMENTS
1661.HK  # CH FRONTIER TEC
1662.HK  # YEE HOP HLDGS
1663.HK  # S HARBOURHOLD
1666.HK  # TONG REN TANG
1667.HK  # DIMMI LIFE HLDG
1668.HK  # CHINASOUTHCITY
1669.HK  # GIC GROUP
1671.HK  # TIANBAO ENERGY
1672.HK  # ASCLETIS-B
1673.HK  # HUAZHANG TECH
1675.HK  # ASIAINFO TECH
1676.HK  # GAODI HOLDINGS
1679.HK  # RISECOMM GP
1680.HK  # MACAU LEGEND
1681.HK  # CONSUN PHARMA
1682.HK  # HP LIVING TECH
1683.HK  # HOPE LIFE INT
1685.HK  # BOER POWER
1686.HK  # SUNEVISION
1688.HK  # LINGYI ITECH
1689.HK  # HUAXIHOLDINGS
1690.HK  # LAP KEI ENGRG
1691.HK  # JS GLOBAL LIFE
1692.HK  # TOWNRAY HLDGS
1693.HK  # BGMC
1695.HK  # S&P INTL HLDG
1696.HK  # SISRAM MED
1697.HK  # SDITC
1698.HK  # TME-SW
1701.HK  # TU YI HLDG
1702.HK  # DONGGUANG CHEM
1703.HK  # EASYHOLD GROUP
1705.HK  # B & S INTL HLDG
1707.HK  # GEOTECH HLDGS
1708.HK  # SAMPLE TECH
1709.HK  # DL HOLDINGS GP
1710.HK  # TRIO IND ELEC
1711.HK  # ULFERTS
1712.HK  # DRAGON MINING
1713.HK  # SICHUAN EN INV
1715.HK  # AI HEALTH TECH
1716.HK  # MOST KWAI CHUNG
1717.HK  # AUSNUTRIA
1718.HK  # WAN KEI GROUP
1719.HK  # CIL GROUP
1720.HK  # PUTIAN COMM
1721.HK  # FSM HOLDINGS
1722.HK  # KIN PANG HLDGS
1723.HK  # MOON INC
1725.HK  # C STRATEGIC TEC
1726.HK  # HKE HOLDINGS
1727.HK  # HEBEI CONS
1728.HK  # ZHENGTONGAUTO
1729.HK  # TIME INTERCON
1731.HK  # PROSPEROUS IND
1732.HK  # XIANGXING TECH
1733.HK  # E-COMMODITIES
1735.HK  # CENTRAL NEW EGY
1736.HK  # PARENTING NET
1737.HK  # A & S GROUP
1738.HK  # FS ANTHRACITE
1739.HK  # QEEKA HOME
1740.HK  # VALUES CULTURAL
1741.HK  # SHING CHI HLDGS
1742.HK  # HPC HOLDINGS
1745.HK  # LVJI TECH
1746.HK  # MAN SHUN GP
1747.HK  # HOME CONTROL
1748.HK  # XIN YUAN ENT
1749.HK  # SHANSHAN
1750.HK  # REM GROUP HLDGS
1751.HK  # AI ENERGY E-2K
1752.HK  # TOP EDUCATION
1753.HK  # DUIBA
1755.HK  # S-ENJOY SERVICE
1756.HK  # CHI SCI&EDU IND
1757.HK  # GLOBAL CHI BC
1758.HK  # BOJUN EDU
1759.HK  # SINO GAS HLDGS
1760.HK  # INTRON TECH
1762.HK  # WANKA ONLINE
1763.HK  # CIRC
1765.HK  # XJ INTL HLDGS
1766.HK  # CRRC
1767.HK  # TS WONDERS
1768.HK  # BUSYMING
1769.HK  # SCHOLAR EDU
1770.HK  # DKE
1771.HK  # SUNFONDA GP
1772.HK  # GANFENGLITHIUM
1773.HK  # TIANLI INT HLDG
1775.HK  # BEXCELLENT GP
1776.HK  # GF SEC
1777.HK  # FANTASIA
1778.HK  # COLOUR LIFE
1779.HK  # LONGBIO-B
1780.HK  # RONGZUN INT'L H
1782.HK  # IB DIGITAL TECH
1783.HK  # ENVISION GREEN
1785.HK  # CHENGDU EXPWAY
1786.HK  # CRCCE
1787.HK  # SD GOLD
1788.HK  # GUOTAI JUNAN I
1789.HK  # AK MEDICAL
1790.HK  # TIL ENVIRO
1792.HK  # CMON
1793.HK  # WECON HOLDINGS
1795.HK  # YADONG GROUP
1796.HK  # METASPACEX
1797.HK  # EAST BUY
1798.HK  # DATANG RENEW
1799.HK  # XINTE ENERGY
1800.HK  # CHINA COMM CONS
1801.HK  # INNOVENT BIO
1802.HK  # WENYE GROUP
1803.HK  # BJ SPORTS&E-NEW
1808.HK  # ENTERPRISE DEV
1809.HK  # PRINX CHENGSHAN
1810.HK  # XIAOMI-W
1811.HK  # CGN NEW ENERGY
1812.HK  # CHENMING PAPER
1813.HK  # KWG GROUP
1815.HK  # EVEREST GOLD
1816.HK  # CGN POWER
1817.HK  # MULSANNE GROUP
1818.HK  # ZHAOJIN MINING
1820.HK  # PM PACKAGING
1822.HK  # CHINA WOOD INT
1823.HK  # HUAYUEXPRESSWAY
1825.HK  # STERLING GP
1826.HK  # FDB HOLDINGS
1827.HK  # MIRICOR
1828.HK  # FWD
1830.HK  # PERFECT MEDICAL
1831.HK  # SHIFANG HLDG
1832.HK  # SAI LEISURE
1833.HK  # PA GOODDOCTOR
1835.HK  # REALWAY CAPITAL
1836.HK  # STELLA HOLDINGS
1837.HK  # NATURAL FOOD IH
1841.HK  # A.PLUS GROUP
1842.HK  # GROWN UP GROUP
1843.HK  # SNACK EMPIRE
1845.HK  # WG ENV TECH
1846.HK  # EUROEYES
1847.HK  # GHPC
1848.HK  # CALC
1849.HK  # AM GROUP
1850.HK  # BEAUTIFULLIFEGP
1851.HK  # GINGKO EDU
1853.HK  # CHUNCHENG HEAT
1854.HK  # CHINA WANTIAN
1855.HK  # ZONQING LTD
1856.HK  # ERNEST BOREL
1857.HK  # CEB WATER
1858.HK  # CHUNLI MEDICAL
1860.HK  # MOBVISTA
1861.HK  # PRECIOUS DRAGON
1862.HK  # JINGRUI HLDGS
1863.HK  # CHI LONGEVITY
1865.HK  # PENGO HLDG GP
1866.HK  # CHINA XLX FERT
1867.HK  # STD DEV GROUP
1868.HK  # NEO-NEON
1869.HK  # KAFELAKU COFFEE
1870.HK  # GREEN POWER GP
1871.HK  # CHINA ORIENTED
1872.HK  # GUAN CHAO HLDGS
1873.HK  # VIVA BIOTECH
1875.HK  # BIODLINK-B
1876.HK  # BUD APAC
1877.HK  # JUNSHI BIO
1878.HK  # SOUTHGOBI
1879.HK  # XIZHI TECH-P
1880.HK  # CTG DUTY-FREE
1881.HK  # REGAL REIT
1882.HK  # HAITIAN INT'L
1883.HK  # CITIC TELECOM
1884.HK  # EPRINT GROUP
1888.HK  # KB LAMINATES
1889.HK  # SANAI HEALTH GP
1890.HK  # CHINA KEPEI
1891.HK  # HENG HUP
1894.HK  # HANG YICK HLDGS
1895.HK  # XINYUAN PM
1896.HK  # MAOYAN ENT
1897.HK  # MILLIONHOPE IND
1898.HK  # CHINA COAL
1899.HK  # XINGDA INT'L
1900.HK  # CHINA ITS
1901.HK  # FEIYANG GROUP
1903.HK  # JBB BUILDERS
1905.HK  # HAITONG UT
1906.HK  # BONNY HLDG
1907.HK  # CHINA RISUN GP
1908.HK  # C&D INTL GROUP
1909.HK  # FIRE ROCK
1910.HK  # SAMSONITE
1911.HK  # CR HOLDINGS
1912.HK  # CONTEL
1913.HK  # PRADA
1915.HK  # TAIHE M-FIN
1916.HK  # JIANGXI BANK
1917.HK  # DOUMOB
1918.HK  # SUNAC
1919.HK  # COSCO SHIP HOLD
1920.HK  # JUNWEA GROUP
1921.HK  # DALIPAL HLDG
1925.HK  # KWUNGS AROMA
1927.HK  # JIUJIUWANG
1928.HK  # SANDS CHINA LTD
1929.HK  # CHOW TAI FOOK
1930.HK  # SHINELONG
1931.HK  # ETHK LABS INC.
1932.HK  # CPM GROUP
1933.HK  # ONEFORCE HLDGS
1935.HK  # JH EDUCATION
1936.HK  # RITAMIX
1937.HK  # JIACHEN HOLDING
1938.HK  # CHU KONG PIPE
1939.HK  # SHANGSHAN GOLD
1940.HK  # CGII HLDGS
1941.HK  # YE XING GROUP
1942.HK  # MOG DIGITECH
1943.HK  # KING'S STONE
1945.HK  # ZERO2IPO
1947.HK  # MEIHAO GROUP
1948.HK  # UJU HOLDING
1949.HK  # PLATT NERA
1950.HK  # DIWANG IND H
1951.HK  # JXR
1952.HK  # EVEREST MED
1953.HK  # SFQ GLOBAL
1955.HK  # JOHNSON HLDGS
1956.HK  # WENGE AI
1957.HK  # MBV INTL
1958.HK  # BAIC MOTOR
1959.HK  # ZHONG JU INVEST
1960.HK  # TBKS HLDGS
1961.HK  # INFINITIES TECH
1962.HK  # EVERGREEN PG
1963.HK  # BCQ
1965.HK  # LANDSEA LIFE
1966.HK  # CHINA SCE GROUP
1967.HK  # CONFIDENCE IN
1968.HK  # HINGTEX HLDGS
1969.HK  # CHINA CHUNLAI
1970.HK  # IMAX CHINA
1971.HK  # RSUN SER
1972.HK  # SWIREPROPERTIES
1973.HK  # TIAN TU CAPITAL
1975.HK  # SUN HING PRINT
1977.HK  # ANALOGUE HLDGS
1978.HK  # LH GROUP
1979.HK  # TEN PAO GROUP
1980.HK  # TIANGE
1981.HK  # CATHAY GP HLDGS
1982.HK  # NAMESON HLDGS
1983.HK  # LUZHOU BANK
1985.HK  # MICROWARE
1986.HK  # TSAKER NE
1987.HK  # BENG SOON MACH
1988.HK  # MINSHENG BANK
1989.HK  # DELTON
1991.HK  # TA YANG GROUP
1993.HK  # ASIARAY
1995.HK  # ES SERVICES
1996.HK  # RSUN PPT
1997.HK  # WHARF REIC
1999.HK  # MAN WAH HLDGS
2000.HK  # SIM TECH
2001.HK  # NEW HIGHER EDU
2002.HK  # SUNSHINE PAPER
2003.HK  # VCREDIT
2005.HK  # SSY GROUP
2007.HK  # COUNTRY GARDEN
2008.HK  # PHOENIX TV
2009.HK  # BBMG
2011.HK  # GILSTON GROUP
2012.HK  # SUNSHINE OIL
2013.HK  # WEIMOB INC
2015.HK  # LI AUTO-W
2016.HK  # CZBANK
2017.HK  # CHANHIGH
2018.HK  # AAC TECH
2020.HK  # ANTA SPORTS
2022.HK  # DIGIT HOLLYWOOD
2023.HK  # CHINA LUDAO
2025.HK  # RUIFENG POWER
2026.HK  # PONY-W
2028.HK  # JOLIMARK
2030.HK  # CABBEEN
2031.HK  # AUSUPREME
2033.HK  # TIME WATCH
2038.HK  # FIH
2039.HK  # CIMC
2041.HK  # MEDCAPTAIN
2048.HK  # E-HOUSE ENT
2050.HK  # SANHUA
2051.HK  # VALA
2057.HK  # ZTO EXPRESS-W
2068.HK  # CHALIECO
2076.HK  # BOSS ZHIPIN-W
2078.HK  # PANASIALUM
2080.HK  # AUX INTL
2086.HK  # LEADWAY TECH
2088.HK  # XIWANG PROPERTY
2096.HK  # SIMCERE PHARMA
2097.HK  # MIXUE GROUP
2098.HK  # ZALL SMARTCOM
2099.HK  # CHINAGOLDINTL
2100.HK  # BAIOO
2101.HK  # FULU HOLDINGS
2102.HK  # TAK LEE MACH
2105.HK  # LAEKNA-B
2107.HK  # FIRST SERVICE
2108.HK  # K2 F&B
2110.HK  # TIAN CHENG-NEW
2111.HK  # BEST PACIFIC
2112.HK  # GRACE LIFE-TECH
2113.HK  # CENTURY GP INTL
2116.HK  # JS INNOV
2119.HK  # TSIT WING INTL
2120.HK  # KN HOSPITAL
2121.HK  # AINNOVATION
2122.HK  # KIDSLAND INTL
2125.HK  # STRAWBEAR ENT
2126.HK  # JW THERAP-B
2127.HK  # HUISEN SHARES
2128.HK  # CHINA LESSO
2129.HK  # LEGION CONSO
2130.HK  # CN LOGISTICS
2131.HK  # NETJOY
2132.HK  # LANDRICH HLDG
2135.HK  # RAILY AESMED
2136.HK  # LIFESTYLE CHI
2137.HK  # BRII-B
2138.HK  # EC HEALTHCARE
2139.HK  # BANK OF GANSU
2142.HK  # HBM HOLDINGS-B
2145.HK  # CHICMAX
2146.HK  # ROISERV
2147.HK  # ZHENGWEI GROUP
2149.HK  # BATELAB
2150.HK  # NAYUKI
2152.HK  # SUXIN SERVICES
2153.HK  # TAT HONG EQUIP
2155.HK  # MORIMATSU INTL
2156.HK  # C&D PROPERTY
2157.HK  # LEPU BIO
2158.HK  # YIDU TECH
2159.HK  # MEDIWELCOME
2160.HK  # MP CARDIOFLOW-B
2161.HK  # JBM HEALTHCARE
2162.HK  # KEYMED BIO-B
2163.HK  # BROAD HOMES
2165.HK  # LING YUE SER GP
2166.HK  # SMART-CORE
2167.HK  # TI CLOUD
2168.HK  # KAISA PROSPER
2169.HK  # CANGGANGRAILWAY
2170.HK  # BASECARE-B
2171.HK  # CARSGEN-B
2172.HK  # MICROPORT NEURO
2175.HK  # CH GENERAL EDU
2176.HK  # CCID CONSULTING
2177.HK  # UNQ HOLDINGS
2178.HK  # PETRO-KING
2179.HK  # RECBIO-B
2180.HK  # MANPOWER GRC
2181.HK  # MABPHARM-B
2182.HK  # TIAN CHANG GP
2185.HK  # BIOHEART-B
2186.HK  # LUYE PHARMA
2187.HK  # ZHIXIN GP HLDG
2188.HK  # TITANS ENERGY
2189.HK  # KATO (HK) HLDGS
2190.HK  # ZYLOXTB
2191.HK  # SF REIT
2192.HK  # MEDLIVE
2193.HK  # MAN KING HOLD
2195.HK  # UNITY ENT
2196.HK  # FOSUN PHARMA
2197.HK  # CLOVER BIO-B
2198.HK  # CHINA SANJIANG
2199.HK  # REGINA MIRACLE
2202.HK  # CHINA VANKE
2203.HK  # BRAINHOLE TECH
2205.HK  # KANGQIAO SER
2208.HK  # GOLDWIND
